あいみての,のちのこころに　くらぶれば,むかしはものを,おもわざりけり
あうことの,たえてしなくば,なかなかに,ひとをもみをも,うらみざらまし
あきかぜに,たなびくくもの,たえまより,もれいずるつきの,かげのさやけさ
あきのたの,かりほのいおの,とまをあらみ,わがころもでは,つゆにぬれつつ
あけぬれば,くるるものとは,しりながら,なおうらめしき,あさぼらけかな
あさぢうの,おののしのはら,しのぶれど,あまりてなどか,ひとのこいしき
あさぼらけ,ありあけのつきと,みるまでに,よしののさとに,ふれるしらゆき
あさぼらけ,うじのかわぎり,たえだえに,あらわれわたる,せぜのあじろぎ
あしびきの,やまどりのおの,しだりおの,ながながしよを,ひとりかもねん
あまつかぜ,くものかよいじ,ふきとじよ,おとめのすがた,しばしとどめん
あまのはら,ふりさけみれば,かすがなる,みかさのやまに,いでしつきかも
あらざらん,このよのほかの,おもいでに,いまひとたびの,あうこともがな
あらしふく,みむろのやまの,もみじばは,たつたのかわの,にしきなりけり
ありあけの,つれなくみえし,わかれより,あかつきばかり,うきものはなし
ありまやま,いなのささはら,かぜふけば,いでそよひとを,わすれやはする
あわじしま,かようちどりの,なくこえに,いくよねざめぬ,すまのせきもり
あわれとも,いうべきひとは,おもおえで,みのいたずらに,なりぬべきかな
いにしえの,ならのみやこの,やえざくら,きょうここのえに,においぬるかな
いまこんと,いいしばかりに,ながつきの,ありあけのつきを,まちいでつるかな
いまはただ,おもいたえなん,とばかりを,ひとずてならで,いうよしもがな
うかりける,ひとをはつせの,やまおろしよ,はげしかれとは,いのらぬものを
うらみわび,ほさぬそでだに,あるものを,こいにくちなん,なこそおしけれ
おおえやま,いくののみちの,とおければ,まだふみもみず,あまのはしだて
おおけなく,うきよのたみに,おおうかな,わがたつそまに,すみぞめのそで
おくやまに,もみじふみわけ,なくしかの,こえきくときぞ,あきはかなしき
おぐらやま,みねのもみじば,こころあらば,いまひとたびの,みゆきまたなん
おとにきく,たかしのはまの,あだなみは,かけじやそでの,ぬれもこそすれ
おもいわび,さてもいのちは,あるものを,うきにたえぬは,なみだなりけり
かくとだに,えやはいぶきの,さしもぐさ,さしもしらじな,もゆるおもいを
かささぎの,わたせるはしに,おくしもの,しろきをみれば,よぞふけにける
かぜそよぐ,ならのおがわの,ゆうぐれは,みそぎぞなつの,しるしなりける
かぜをいたみ,いわうつなみの,おのれのみ,くだけてものを,おもうころかな
きみがため,おしからざりし,いのちさえ,ながくもがなと,おもいけるかな
きみがため,はるののにいでて,わかなつむ,わがころもでに,ゆきはふりつつ
きりぎりす,なくやしもよの,さむしろに,ころもかたしき,ひとりかもねん
こいすちょう,わがなはまだき,たちにけり,ひとしれずこそ,おもいそめしか
こころあてに,おらばやおらん,はつしもの,おきまどわせる,しらぎくのはな
こころにも,あらでうきよに,ながらえば,こいしかるべき,よわのつきかな
こぬひとを,まつほのうらの,ゆうなぎに,やくやもしおの,みもこがれつつ
このたびは,ぬさもとりあえず,たむけやま,もみじのにしき,かみのまにまに
これやこの,ゆくもかえるも,わかれては,しるもしらぬも,おうさかのせき
